county,state,d_2020_03_30,d_2020_04_30,d_2020_05_30,d_2020_06_30,d_2020_07_30,d_2020_08_30
Morris,New Jersey,0.02629540255,0.8353847119,1.239929367,1.614133172,1.67481487,1.676837594
Pointe Coupee,Louisiana,0,0.676956404,1.083130246,1.218521527,1.444173662,1.669825797
Franklin,Iowa,0,0,0,0,0.3904343582,1.659346022
Crockett,Texas,0,0,0,0,0.550509221,1.651527663
Walthall,Mississippi,0,0,0,0.2739538388,1.164303815,1.643723033
Humphreys,Mississippi,0,0.3513291955,0.8197681227,1.053987586,1.28820705,1.639536245
Iberville,Louisiana,0.06068697657,0.9103046486,1.24408302,1.304769996,1.42614395,1.638548368
Wayne,Michigan,0.04712208936,1.012841053,1.393224184,1.545377437,1.589660846,1.636782935
Imperial,California,0,0.04439117503,0.1442713189,0.5104985129,1.104230479,1.620277889
Nassau,New York,0.03538351305,1.556137418,1.927664305,1.985162514,1.994745548,1.620270035
Warren,New Jersey,0.0188159145,0.7714524945,1.2324424,1.486457246,1.599352733,1.60876069
Reagan,Texas,0,0,0,0,0.7995735608,1.599147122
Hartford,Connecticut,0.003352966817,0.7801236127,1.38365764,1.53118818,1.57701206,1.593776894
Monroe,Mississippi,0,0.390625,0.6975446429,0.8091517857,1.3671875,1.590401786
Hampden,Massachusetts,0.01065834463,0.7951125095,1.219314626,1.396243147,1.475114897,1.590225019
Essex,Massachusetts,0.008962592699,0.5736059327,1.16385668,1.413528906,1.506995944,1.582537797
Rockland,New York,0.02471531052,1.143083111,1.411862113,1.448935079,1.452024493,1.569422218
Montgomery,Mississippi,0,0.09805844283,0.09805844283,0.1961168857,0.2941753285,1.568935085
Yuma,Arizona,0,0.004811648038,0.06736307253,0.4522949155,1.193288713,1.54453902
Monroe,Georgia,0,0.1110699741,0.2961865976,0.6293965198,0.851536468,1.517956312
West Baton Rouge,Louisiana,0.03866976025,0.6960556845,1.160092807,1.160092807,1.353441609,1.50812065
Lavaca,Texas,0,0.05014793641,0.05014793641,0.05014793641,0.6519231734,1.504438092
Grenada,Mississippi,0,0,0.1409906946,0.234984491,0.8929410659,1.503900743
Bolivar,Mississippi,0,0.2147766323,0.3375061365,0.3988708886,0.8897889053,1.503436426
Westchester,New York,0.01961158735,1.180823996,1.540025702,1.608150163,1.628793939,1.49770596
Fairfield,Connecticut,0.02223756497,0.8577346487,1.34166642,1.457089971,1.488857921,1.496270443
San Juan,New Mexico,0,0.3530657879,0.9179710486,1.278882743,1.404417245,1.490722216
Acadia,Louisiana,0.01598261092,0.1598261092,0.3676000511,0.5753739931,1.134765375,1.486382815
Kemper,Mississippi,0,0.1978826556,1.088354606,1.286237261,1.484119917,1.484119917
Lincoln,Mississippi,0,0.2904275093,0.813197026,0.9874535316,1.103624535,1.481180297
Orleans,Louisiana,0.2207120273,1.113825812,1.301174393,1.370467704,1.437194596,1.480823718
Phillips,Kansas,0,0,0,0,1.479289941,1.479289941
Real,Texas,0,0,0,0,0,1.475361464
Sumter,Alabama,0,0.1540238737,0.4620716211,0.9241432422,1.309202926,1.4632268
Buffalo,South Dakota,0,0,0,0.4870920604,1.461276181,1.461276181
Norfolk,Massachusetts,0.01575369245,0.7146447757,1.167205395,1.321878012,1.40637509,1.456500475
Plymouth,Massachusetts,0,0.5564938932,1.070030363,1.298485751,1.382447987,1.446884122
Allen,Louisiana,0.03896964265,0.3507267838,0.3896964265,0.3896964265,0.7404232103,1.441876778
San Augustine,Texas,0,0.1200912694,0.2401825387,0.8406388856,1.441095232,1.441095232
Simpson,Mississippi,0,0,0,0.1108115096,0.6279318879,1.440549625
Tishomingo,Mississippi,0,0,0,0.0513399733,0.1540199199,1.437519252
Lamb,Texas,0,0,0,0,0.3770170412,1.432664756
Decatur,Indiana,0,1.167520337,1.280506177,1.318168123,1.318168123,1.431153962
Franklin,Louisiana,0,0.1476232654,0.4920775514,0.688908572,0.7873240823,1.427024899
Habersham,Georgia,0,0.1806317596,0.5193163088,0.7902639482,1.061211588,1.422475107
Nevada,Arkansas,0,0,0,0.355450237,1.066350711,1.421800948
Hamilton,Nebraska,0,0.8716495969,1.416430595,1.416430595,1.416430595,1.416430595
Maverick,Texas,0,0,0.01725030188,0.03450060376,0.5002587545,1.414524754
Salem,New Jersey,0,0.1578880889,0.584185929,1.184160667,1.310471138,1.405203991
Union,Illinois,0,0,0.5838734162,1.109359491,1.226134174,1.401296199
Suffolk,Massachusetts,0.008840995951,0.6618116969,1.096283498,1.26552542,1.33246439,1.39814036
Wapello,Iowa,0,0,0.2548492142,0.8494973807,0.8778139601,1.387512389
Sussex,New Jersey,0.02108251697,0.7238330827,1.047098343,1.342253581,1.370363603,1.384418614
Refugio,Texas,0,0,0,0,0,1.381978994
Tipton,Indiana,0,0.06571165725,0.1314233145,0.1314233145,0.3942699435,1.379944802
Monmouth,New Jersey,0.02406209947,0.5470117279,0.9560674188,1.294540951,1.376352089,1.376352089
Delaware,Pennsylvania,0.007098151464,0.4170163985,0.9901921292,1.235078355,1.295412642,1.37171777
Lauderdale,Mississippi,0,0.2586552513,0.7888985166,1.00875548,1.138083106,1.370872832
Hidalgo,Texas,0,0.007063901228,0.01177316871,0.05415657608,0.7252271927,1.368042204
Suwannee,Florida,0,0.3187323559,0.4097987433,0.455331937,0.7285310992,1.365995811
Jackson,Florida,0,0,0.02063046707,0.04126093415,0.5776530781,1.361610827
Sunflower,Mississippi,0.0376903362,0.0753806724,0.1130710086,0.2261420172,0.753806724,1.356852103
Worth,Georgia,0.04841208366,0.5325329202,1.016653757,1.06506584,1.113477924,1.355538342
Leake,Mississippi,0,0.08745080892,0.5247048535,0.8307826847,1.093135111,1.355487538
Bullock,Alabama,0,0,0.3863987635,0.9659969088,1.159196291,1.352395672
Gentry,Missouri,0,0,0.1500375094,1.350337584,1.350337584,1.350337584
Greer,Oklahoma,0,1.009591116,1.177856302,1.177856302,1.177856302,1.346121487
Suffolk,New York,0.02957185996,0.8253237279,1.304522277,1.362993909,1.373075225,1.345519628
Attala,Mississippi,0,0,0.8610946666,1.237823583,1.237823583,1.345460417
Brooks,Georgia,0,0.3840737422,0.5120983229,0.704135194,0.9601843554,1.344258098
St. Landry,Louisiana,0.01198336709,0.5033014176,0.6471018227,0.6830519239,0.8388356961,1.342137114
Johnson,Georgia,0,0.2055498458,0.2055498458,0.2055498458,0.8221993834,1.336073998
Orleans,New York,0,0.1214329083,0.6314511233,0.9957498482,0.9957498482,1.335761991
St. Mary,Louisiana,0,0.3865929563,0.5798894344,0.7345266169,0.9084934472,1.333745699
Orange,Indiana,0,0.4604287103,1.227809894,1.27896864,1.330127385,1.330127385
Webster,Mississippi,0.1017501018,0.1017501018,0.1017501018,1.017501018,1.221001221,1.322751323
Hale,Texas,0,0.1172573506,0.1172573506,0.2052003635,0.7621727787,1.319145194
Jackson,Louisiana,0,0.1255808113,0.8162752731,1.00464649,1.130227301,1.318598518
Providence,Rhode Island,0,0.2080270057,0.8163484011,1.177243737,1.273377429,1.317504369
West Feliciana,Louisiana,0,0.1300643819,0.8454184821,0.9104506731,0.975482864,1.300643819
Middlesex,Massachusetts,0.005641954072,0.529716799,1.000506522,1.160361887,1.237468593,1.296395669
Washington,Texas,0,0.4310840326,0.7184733877,0.8909070008,1.063340614,1.293252098
Candler,Georgia,0,0,0,0,0.3694467535,1.293063637
Noxubee,Mississippi,0,0,0.5541189509,0.7388252678,0.9235315848,1.292944219
Washington,Louisiana,0.02152528144,0.387455066,0.8179606948,0.9901629464,1.248466324,1.291516887
New Haven,Connecticut,0.006982110669,0.5958067771,1.124119818,1.250961495,1.281217308,1.290526789
Worcester,Massachusetts,0.00729678455,0.322274651,0.9157464611,1.118840298,1.201537189,1.28301795
Caddo,Louisiana,0.0201319853,0.4308244853,0.7569626471,0.9462033089,1.111285588,1.280394265
Monroe,Ohio,0,0,0.8516678495,1.206529454,1.206529454,1.277501774
Throckmorton,Texas,0,0,0,0,0,1.276324186
Washington,Mississippi,0,0.06371320562,0.1486641465,0.1911396169,0.5946565858,1.274264112
Butler,Kentucky,0,0.235386426,1.020007846,1.098469988,1.17693213,1.255394272
Bleckley,Georgia,0,0,0,0.0782778865,0.2348336595,1.252446184
Jefferson,Louisiana,0.08499885137,0.7948541236,1.026878015,1.111876867,1.178497588,1.252010108
Colonial Heights city,Virginia,0,0.2842039448,0.9662934122,0.9662934122,1.193656568,1.250497357
Louisa,Iowa,0,0.1782054709,0.98013009,1.158335561,1.247438296,1.247438296
Appling,Georgia,0,0.3251327625,0.7044543188,0.7586431126,0.8670207001,1.246342256
Ware,Georgia,0,0.3089974437,0.3932694739,0.4213601506,0.6460855642,1.235989775
Fairfield,South Carolina,0,0.08805917577,0.6604438182,0.9246213455,1.012680521,1.232828461
Cottle,Texas,0,0,0.6161429452,0.6161429452,1.23228589,1.23228589
Jefferson,Mississippi,0,0,0.1361285053,0.4083855159,0.6806425265,1.225156548
Kent,Maryland,0,0.2551931812,0.9697340887,1.173888634,1.173888634,1.22492727
Santa Cruz,Arizona,0,0,0,0.4722651554,1.073329899,1.223596084
DeWitt,Texas,0,0.04893564962,0.04893564962,0.04893564962,0.6361634451,1.223391241
De Soto,Louisiana,0.0367430923,0.4041740153,0.6246325691,0.6613756614,0.8818342152,1.212522046
Tift,Georgia,0,0.1234263145,0.4196494693,0.6418168353,0.8392989385,1.209577882
Grant,Louisiana,0,0,0.04474673349,0.04474673349,0.3579738679,1.208161804
Toole,Montana,0.4019292605,1.205787781,1.205787781,1.205787781,1.205787781,1.205787781
Troup,Georgia,0.01433198613,0.05732794451,0.1576518474,0.4586235561,0.7739272508,1.203886835
Shoshone,Idaho,0,0,0,0,0.07983394539,1.197509181
Iberia,Louisiana,0,0.2888940859,0.5090038657,0.6053018943,0.8391685353,1.196846927
Floyd,Texas,0,0,0,0,0.6811989101,1.192098093
Ohio,Indiana,0,0,0,0,0.509597418,1.189060642
Muscatine,Iowa,0,0.3259604191,0.9545983702,1.024447031,1.094295693,1.187427241
Carroll,Mississippi,0,0.09872642907,1.08599072,1.08599072,1.08599072,1.184717149
Chambers,Alabama,0.118252232,0.6208242181,0.7390764501,0.7982025661,1.123396204,1.18252232
Tunica,Mississippi,0.09832841691,0.09832841691,0.2949852507,0.2949852507,0.4916420846,1.179941003
Bristol,Massachusetts,0.003578425672,0.3077446078,0.7335772627,1.027008168,1.114679597,1.179091259
Greene,Indiana,0,0.2477163648,0.8360427311,1.05279455,1.145688187,1.176652733
Middlesex,Connecticut,0.006121149797,0.4835708339,0.9181724695,1.126291563,1.169139611,1.175260761
Lee,Arkansas,0,0.1064056182,0.1064056182,0.2128112364,0.6384337093,1.1704618
Walker,Alabama,0,0,0.03101111749,0.2635944986,0.9768502008,1.162916906
Camden,New Jersey,0.001970959877,0.2897311019,0.658300599,0.9637993799,1.12541809,1.162866328
Chickasaw,Mississippi,0,0.4051160368,0.6944846345,1.041726952,1.099600671,1.157474391
Mahoning,Ohio,0.01731122113,0.3462244227,0.7530381193,0.9867396046,1.077623516,1.1468684
Red River,Texas,0,0,0.6517311609,0.8146639511,0.8961303462,1.140529532
Franklin,Indiana,0.1751160144,0.3064530251,0.3940110323,0.3940110323,0.3940110323,1.138254093
Pike,Mississippi,0,0.1761582404,0.2768200921,0.301985555,0.7549638876,1.132445831
Williamsburg,South Carolina,0,0,0.4403346543,0.4717871296,0.7234069321,1.132289111
Orangeburg,South Carolina,0,0.01130531124,0.03391593371,0.1243584236,0.5878761842,1.130531124
McIntosh,North Dakota,0,0,0,0,0.3767897513,1.130369254
Little River,Arkansas,0,0,0,0,0.08053475074,1.12748651
Tate,Mississippi,0,0,0.03509633945,0.2456743762,0.7370231285,1.123082862
Jackson,Kentucky,0,0.5234427578,0.9721079788,0.9721079788,1.046885516,1.121663052
Philadelphia,Pennsylvania,0.004442971917,0.3852691362,0.8302010381,1.0193447,1.073295073,1.121533054
Big Horn,Montana,0,0,0,0.2242822967,0.4485645933,1.121411483
Macomb,Michigan,0.03108078241,0.6998931742,0.9289700519,1.060200022,1.083222824,1.120059307
Shenandoah,Virginia,0,0.04646300383,0.4878615402,0.6737135556,0.9292600767,1.115112092
Jefferson Davis,Louisiana,0,0.1906759462,0.2224552706,0.2860139193,0.7627037849,1.112276353
Hampton,South Carolina,0,0,0,0.100974403,0.403897612,1.110718433
Baldwin,Georgia,0.02208187961,0.1766550369,0.5741288698,0.7507839067,0.8391114252,1.10409398
Winn,Louisiana,0,0.137988133,0.137988133,0.3449703326,0.4829584656,1.103905064
Lafourche,Louisiana,0.0203636956,0.4581831511,0.7229111939,0.8858207588,0.977457389,1.099639563
Thomas,Georgia,0,0.4247708473,0.7154035323,0.7154035323,0.871898055,1.095461659
Calhoun,Georgia,0,0.6222775358,0.7778469197,0.7778469197,0.9334163037,1.088985688
Grimes,Texas,0,0.03619254434,0.03619254434,0.07238508867,0.6876583424,1.08577633
Florence,South Carolina,0.02165111395,0.1010385318,0.2742474434,0.3680689371,0.6567504565,1.082555697
Orange,New York,0.007931744693,0.6266078307,0.9888241717,1.054922044,1.068141619,1.081361193
Copiah,Mississippi,0,0.03481772919,0.1392709168,0.4874482086,0.8008077713,1.079349605
Burlington,New Jersey,0.01120154492,0.2912401678,0.6496896052,0.949891009,1.050704913,1.077588621
Avoyelles,Louisiana,0,0.1712244998,0.2201457854,0.3179883567,0.6359767135,1.076268284
Mecklenburg,Virginia,0,0.3241806334,0.6807793302,0.842869647,1.004959964,1.06979609
Yell,Arkansas,0,0,0.0463542391,0.1390627173,0.6489593473,1.066147499
Deaf Smith,Texas,0,0,0.6878670829,0.8466056405,1.005344198,1.058257051
Page,Virginia,0,0.04210703609,0.8842477578,1.010568866,1.010568866,1.052675902
Jones,Mississippi,0,0.01460835013,0.3652087533,0.7158091565,0.8326759576,1.05180121
Montgomery,Pennsylvania,0.006087901999,0.4273707204,0.8303898327,0.9752819003,1.031290599,1.048336724
St. Charles,Louisiana,0.05690008345,0.7207343904,0.8345345573,0.9293680297,0.9483347242,1.043168197
St. Martin,Louisiana,0.05581187677,0.3162673017,0.4278910552,0.483702932,0.7999702337,1.0418217
Colleton,South Carolina,0,0.1064735945,0.292802385,0.5589863714,0.8251703578,1.038117547
Winston,Mississippi,0,0,0.05447216472,0.2723608236,0.7626103061,1.03497113
Wharton,Texas,0,0,0,0.02406680946,0.4572693798,1.034872807
Matagorda,Texas,0.02721606837,0.0816482051,0.1360803418,0.1360803418,0.5443213673,1.034210598
Marion,Mississippi,0,0.2380763431,0.3571145147,0.4364732958,0.6348702484,1.031664154
Wayne,Mississippi,0,0,0.04896680051,0.5386348056,1.028302811,1.028302811
Rapides,Louisiana,0.007601903517,0.07601903517,0.1976494914,0.4485123075,0.7677922552,1.026256975
Greene,Mississippi,0,0.0729181858,0.0729181858,0.5104273006,0.729181858,1.020854601
Calhoun,South Carolina,0,0.06796710392,0.06796710392,0.06796710392,0.4078026235,1.019506559
Wilcox,Alabama,0,0.1850309927,0.6476084744,0.7401239708,0.8326394671,1.01767046
Monroe,Iowa,0,0,0.6358896096,0.7630675315,0.8902454534,1.017423375
Jefferson,Georgia,0,0.06340349987,0.06340349987,0.06340349987,0.3170174994,1.014455998
Stephens,Georgia,0,0.03894687646,0.07789375292,0.2336812588,0.3894687646,1.012618788
Yakima,Washington,0.01203248772,0.1965306327,0.3810287777,0.6337110198,0.8703499449,1.010728968
Cumberland,New Jersey,0.006518904824,0.07822685789,0.4693611473,0.9322033898,1.023468057,1.010430248
Lackawanna,Pennsylvania,0.009458321905,0.3877911981,0.8039573619,0.9600196733,1.002582122,1.007311283
Dooly,Georgia,0,0.6472491909,0.8629989213,0.8629989213,1.006832075,1.006832075
Cape May,New Jersey,0,0.2347793608,0.5229176671,0.7790406062,0.9177738648,1.003148178
Mohave,Arizona,0,0.04852861247,0.2135258949,0.412493206,0.7230763258,0.9996894169
Macon,Alabama,0,0.1049648368,0.2099296736,0.4198593471,0.6297890207,0.9971659494
Northampton,Pennsylvania,0.01656847086,0.3114872522,0.6958757762,0.8814426499,0.9576576159,0.9941082518
Marion,Texas,0,0,0.09917683229,0.09917683229,0.694237826,0.9917683229
Hunterdon,New Jersey,0,0.2319053826,0.4798042399,0.9915954291,1.007588904,0.9915954291
Chaffee,Colorado,0.05218117303,0.7827175955,1.043623461,0.9914422876,0.9914422876,0.9914422876
Edmonson,Kentucky,0,0,0.7424517406,0.9074410163,0.9899356542,0.9899356542
Adair,Kentucky,0,0.5197235071,0.9874746635,0.9874746635,0.9874746635,0.9874746635
Adams,Mississippi,0,0.2535898818,0.4754810283,0.570577234,0.7290709101,0.9826607918
Pipestone,Minnesota,0,0,0,0.1088731628,0.9798584649,0.9798584649
Emanuel,Georgia,0,0,0.08889283968,0.1333392595,0.3111249389,0.9778212365
Warren,Mississippi,0,0.04248539565,0.1911842804,0.361125863,0.5098247477,0.9771640998
Nueces,Texas,0,0.0083220985,0.0083220985,0.02219226267,0.4604894504,0.9764595574
Hendry,Florida,0,0.07476262865,0.3488922671,0.6230219055,0.8722306676,0.9719141725
Stanton,Kansas,0,0,0,0,0,0.9694619486
Assumption,Louisiana,0,0.2641542661,0.6163599542,0.6163599542,0.8364885093,0.9685656423
Logan,Kentucky,0,0,0.1489813401,0.5214346903,0.8193973705,0.9683787106
Cook,Illinois,0.008423117706,0.3076352308,0.6897384794,0.873898462,0.9326688514,0.9675099292
Dallam,Texas,0,0.138064338,0,0.138064338,0.6903216899,0.9664503659
Yalobusha,Mississippi,0,0,0.4025440786,0.56356171,0.8050881572,0.9661057886
Crockett,Tennessee,0,0,0.1379405476,0.2069108214,0.2069108214,0.9655838334
Coffey,Kansas,0,0.9643201543,0.9643201543,0.9643201543,0.9643201543,0.9643201543
Casey,Kentucky,0,0,0,0,0.6330716637,0.9496074956
Lincoln,Arkansas,0,0,0.6571741512,0.8032128514,0.8032128514,0.9492515517
Laurens,Georgia,0,0.02108903792,0.02108903792,0.02108903792,0.06326711375,0.9490067063
Seminole,Georgia,0,0.2370510845,0.2370510845,0.2370510845,0.2370510845,0.948204338
Lehigh,Pennsylvania,0.008273283087,0.2040743161,0.6287695146,0.8190550256,0.9238499447,0.9459120329
Jackson,Texas,0,0,0.06747638327,0.06747638327,0.2699055331,0.9446693657
Vance,North Carolina,0,0.1348860213,0.4721010746,0.8093161279,0.8992401421,0.9442021492
Greensville,Virginia,0,0.5146238957,0.600394545,0.600394545,0.7719358436,0.9434771421
Greene,Georgia,0,0.1178133836,0.4123468426,0.5301602262,0.6479736098,0.9425070688
Baker,Georgia,0.3135779241,0.6271558482,0.6271558482,0.9407337723,0.9407337723,0.9407337723
St. Tammany,Louisiana,0.01586716014,0.4363469037,0.6267528253,0.6941882559,0.7973247968,0.936162448
Bucks,Pennsylvania,0.004789501413,0.3464406022,0.799846736,0.9004262656,0.9211807717,0.935549276
Warren,Georgia,0,0,0,0,0,0.9352787131
Atlantic,New Jersey,0,0.1526780095,0.5920927686,0.8043524404,0.9309634727,0.9346873266
Marion,Alabama,0,0.2002336059,0.3670949441,0.4004672117,0.8009344235,0.9344234941
Putnam,Georgia,0,0.2325256941,0.4185462494,0.5580616658,0.7905873599,0.9301027764
Oakland,Michigan,0.04716818977,0.5564247472,0.7858700093,0.8714123195,0.9001929099,0.9297729611
Oktibbeha,Mississippi,0,0.06062933247,0.2425173299,0.4850346598,0.6265031022,0.9296497646
East Baton Rouge,Louisiana,0.02026597973,0.3084932469,0.5381743505,0.6079793918,0.7318270456,0.9254797408
Chicot,Arkansas,0,0,0,0.2771106595,0.4618510992,0.9237021984
Marengo,Alabama,0,0.1535469342,0.3070938684,0.5630054253,0.7165523595,0.9212816051
Gallatin,Kentucky,0,0,0.3447087211,0.8043203493,0.9192232563,0.9192232563
Choctaw,Alabama,0,0,0.6118546845,0.9177820268,0.9177820268,0.9177820268
Franklin,Massachusetts,0.02819482625,0.5216042856,0.6625784169,0.7612603087,0.8458447875,0.9163318531
Coke,Texas,0,0,0,0.3053435115,0.3053435115,0.9160305344
Berks,Pennsylvania,0,0.2808166243,0.7584448999,0.842449873,0.8736517202,0.9120539936
Calcasieu,Louisiana,0.004995454137,0.14486817,0.2447772527,0.2947317941,0.584468134,0.9091726529
Dillon,South Carolina,0,0,0.09717858184,0.2915357455,0.7450357941,0.9070000972
Columbus,North Carolina,0,0.1598777823,0.4618691489,0.6750395253,0.7816247136,0.9059740998
Tallahatchie,Mississippi,0,0.06963303391,0.06963303391,0.2088991017,0.6266973052,0.9052294408
Nottoway,Virginia,0,0,0,0.1290322581,0.5161290323,0.9032258065
Lincoln,Georgia,0,0,0,0.1282215669,0.5128862675,0.8975509681
Panola,Texas,0,0.2133105802,0.9812286689,1.066552901,0.8532423208,0.8959044369
Webb,Texas,0.003675754357,0.05881206971,0.06983933278,0.09189385892,0.4484420315,0.8932083087
Culberson,Texas,0,0,0,0,0.8924587238,0.8924587238
Lowndes,Mississippi,0,0.03364907381,0.1514208321,0.185069906,0.4374379595,0.8917004559
Coconino,Arizona,0.02139540855,0.2995357196,0.5776760307,0.6561258621,0.8344209333,0.8914753561
Jefferson,Illinois,0,0.3143912599,0.4191883466,0.4453876182,0.4453876182,0.8907752364
Martin,Texas,0,0,0.1781261133,0.1781261133,0.3562522266,0.8906305664
Covington,Mississippi,0,0,0.1047614059,0.2619035147,0.5238070295,0.8904719501
Sussex,Delaware,0.009109957183,0.2641887583,0.6012571741,0.8016762321,0.870000911,0.8882208254
District of Columbia,District of Columbia,0.01314832184,0.3272471212,0.6749471876,0.8049694813,0.8531799947,0.8853203369
Miami-Dade,Florida,0.001473016546,0.1296254561,0.2577778956,0.3649398494,0.5579050169,0.8849146902
Duval,Texas,0,0,0,0,0.1761338617,0.8806693087
Duplin,North Carolina,0,0,0.2031763232,0.4571467272,0.7111171312,0.8804307338
Gila,Arizona,0,0,0.03745318352,0.0936329588,0.543071161,0.8801498127
San Patricio,Texas,0,0,0,0,0.2237269934,0.8799928407
